daily_double,category,question,answer,type_id
0,THE AMERICAN REVOLUTION,"The first of the Intolerable Acts closed this city's harbor as retribution for a certain ""Party\""",Boston,17
0,THE AMERICAN REVOLUTION,"Colonists protested the Sugar Act of 1764 by famously saying, ""No taxation without"" this",representation,17
1,THE AMERICAN REVOLUTION,"In June 1781 British troops nearly captured this future president in Virginia, his home state",Jefferson,17
0,THE AMERICAN REVOLUTION,In April 1778 this American naval hero attempted to kidnap the Earl of Selkirk; it didn't work--the earl wasn't home,John Paul Jones,17
0,THE AMERICAN REVOLUTION,The Treaty of Paris of 1783 extended the border of the U.S. west to this river,the Mississippi,17
0,THE AMERICAN REVOLUTION,"In 1781, the British Gen. Cornwallis surrendered to Washington's forces at this site",Yorktown,17
0,THE AMERICAN REVOLUTION,"\""If every nerve is not strained... the game is pretty near up"", Washington wrote before this New Jersey battle",Trenton,17
0,THE AMERICAN REVOLUTION,"Americans were ordered not to fire until ""you see the whites of their eyes"" to save ammunition in this battle",Bunker Hill,17
0,THE AMERICAN REVOLUTION,By March 1781 all 13 states had approved these articles,the Articles of Confederation,17
0,THE AMERICAN REVOLUTION,His signature on the Declaration of Independence is the largest of the 56,John Hancock,17
0,WEIGHTS & MEASURES,"A unit of weight in Spain, it's also a sign of the zodiac",Libra,6
0,WEIGHTS & MEASURES,One's tested mental age divided by one's chronological age X 100 equals this,IQ,6
0,WEIGHTS & MEASURES,"The name of this linear measurement comes from the Latin ""uncia"", meaning ""twelfth part\""",inch,6
0,WEIGHTS & MEASURES,"In cloth measure, this is divided into 4 quarters, not 3 feet",Yards,6
0,WEIGHTS & MEASURES,The Troy system of weights originated in Troyes in this country,France,6
0,WEIGHTS & MEASURES,Number of square feet in a square yard,9,6
0,WEIGHTS & MEASURES,This measurement originally referred to a strip of land 66 feet wide & 660 feet long,acre,6
0,WEIGHTS & MEASURES,It's about 5.88 trillion miles,light-year,6
0,WEIGHTS & MEASURES,"To find this, multiply the diameter by pi",Circumference,6
0,WEIGHTS & MEASURES,"The Roman one of these was equal to 5,000 Roman feet or about 4,800 of our feet",mile,6
0,WEIGHTS & MEASURES,"In the U.S., one of these units is equal to 3.785 liters, so fill'er up",Gallon,6
0,WEIGHTS & MEASURES,The first reliable mercury-in-glass thermometers used this temperature scale,Fahrenheit,6
1,WEIGHTS & MEASURES,"Ironically, this system was declared the fundamental standard of measurement in the U.S. in 1893",metric system,6
0,WEIGHTS & MEASURES,"Quite logically, 100 surveyor's links equal one of these",chain,6
0,WEIGHTS & MEASURES,"If mom & dad let you borrow one of these, you'll find it's probably 3 3/8"" x 2 1/8"" & has a limit",Credit Card,6
1,WEIGHTS & MEASURES,1 atmosphere is equal to 760 millimeters of this liquid metal,mercury,6
0,WEIGHTS & MEASURES,"Generally, a double one of these should have over 300 coils, a kingsize one over 450",Mattress,6
0,WEIGHTS & MEASURES,128 cubic feet of firewood is equal to this,cord,6
0,WEIGHTS & MEASURES,"A nail, an ell & a bolt are all used to measure this",cloth,6
0,WEIGHTS & MEASURES,There are 1 million of these in a kilogram,Milligrams,6
0,WORLD GEOGRAPHY,It's the only country with coasts on both the Atlantic & Indian Oceans,South Africa,14
0,WORLD GEOGRAPHY,"It's the only body of water with shores on the continents of Asia, Africa & Europe",Mediterranean Sea,14
0,WORLD GEOGRAPHY,It's the only mainland country in the Western Hemisphere that borders only one country,Canada,14
0,WORLD GEOGRAPHY,"The world's highest city of over 1 million people sits at about 12,000 feet in these mountains",the Andes,14
1,WORLD GEOGRAPHY,"Other than Antarctica, the 2 continents without a landlocked country",Australia & North America,14
0,WORLD GEOGRAPHY,"This country in the Americas has more than 125,000 miles of coastline, the most of any country in the world",Canada,14
0,WORLD GEOGRAPHY,"Until Alaska joined the union, this South American country was larger than the U.S.",Brazil,14
0,WORLD GEOGRAPHY,This city was founded in A.D. 43 as the Roman town of Londinium,London,14
0,WORLD GEOGRAPHY,More than 80% of Algeria is covered by this desert,Sahara,14
0,WORLD GEOGRAPHY,"Lying on the east bank of the Nile, Tahrir Square is the center of this capital's downtown",Cairo,14
0,WORLD GEOGRAPHY,"The Mississippi River flows more than 2,300 miles before emptying into this large body of water",the Gulf of Mexico,14
0,WORLD GEOGRAPHY,"Of due south, southeast or southwest, direction a boat travels thru the Panama Canal to the Pacific",southeast,14
0,WORLD GEOGRAPHY,Cape Hafun in this famine-stricken country is the easternmost point on the African mainland,Somalia,14
0,WORLD GEOGRAPHY,"Gwynedd & Clwyd are the northernmost counties in this country, part of the United Kingdom",Wales,14
0,WORLD GEOGRAPHY,This Algerian port's old city is dominated by the Casbah,Algiers,14
0,WORLD GEOGRAPHY,"At one point, this largest island in the world is only about 10 miles from Canada",Greenland,14
0,WORLD GEOGRAPHY,A controversial war was fought by the U.S. in the '60s & '70s in this country once divided into north & south halves,Vietnam,14
1,WORLD GEOGRAPHY,"Once the seat of the Holy Roman Empire, it's now the capital of Austria",Vienna,14
0,WORLD GEOGRAPHY,"Tibetans call this high point Chomolungma, often translated as ""Goddess Mother of the World\""",Mount Everest,14
0,WORLD GEOGRAPHY,Ency. Americana says 1 capital of this country is Bengazi; our other sources say its only capital is Tripoli,Libya,14
0,YOU DO THE MATH,Number of sides on a rhombus divided by the number of original TV Teenage Mutant Ninja Turtles,1,1
0,YOU DO THE MATH,The number of items in a dozen times the number of months in a year,144,1
0,YOU DO THE MATH,The number of U.S. states times the number of U.S. senators,"5,000",1
1,YOU DO THE MATH,The number of legs on a spider plus the number of legs on a fly,14,1
0,YOU DO THE MATH,Number of playing cards in a standard deck without jokers divided by the number of suits,13,1
0,YOU DO THE MATH,The number of sides on an octagon minus the number of sides on a hexagon,2,1
0,YOU DO THE MATH,The sum of all the whole numbers from 1 through 5,15,1
0,YOU DO THE MATH,"The number of days in a week times the number of ancient ""wonders of the world\""",49,1
0,YOU DO THE MATH,It's 54.9 rounded to the nearest 10,50,1
0,YOU DO THE MATH,Total number of known planets in our solar system multiplied by the number of moons around the Earth,9,1
0,YOU DO THE MATH,Number of U.S. states divided by the number of noncontiguous states,25,1
1,YOU DO THE MATH,"If you have 2 dozen dolls & you sell 1/3 of them, you're left with this many",16,1
0,YOU DO THE MATH,"In MLB, the number of bases (including home plate) times the number of innings in a standard game",36,1
0,YOU DO THE MATH,The number of events in a decathlon divided by the number of years in a decade,1,1
0,YOU DO THE MATH,An $80 shirt reduced in price by 20% would cost this,$64 ,1
0,YOU DO THE MATH,The price of a $100 hat becomes this after it's been discounted by 15%,$85 ,1
1,YOU DO THE MATH,Number of sides on a decagon divided by the number of sides on a pentagon,2,1
0,YOU DO THE MATH,It's the square root of the square root of 81,3,1
0,YOU DO THE MATH,"Your class forms a leapfrog league with teams made up of 4 players each; with 28 kids in your class, there are this many teams",7,1
0,YOU DO THE MATH,The 4 angles in a square add up to this many degrees,360,1
0,BIRDS,The Jay belongs to which bird family?,crow,10
0,BIRDS,What type of animal was Dab-Dab in the Dr. Dolittle stories?,a duck,10
0,BIRDS,Birds have a very efficient system for diffusing oxygen into their what?,blood,10
